,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2008-11-20 00:00:00+01:00,594.1199951171875,594.1199951171875,572.469970703125,587.7100219726562,190921000,0.0,0.0
1,2008-11-21 00:00:00+01:00,587.7100219726562,594.7999877929688,560.9400024414062,567.6099853515625,188222800,0.0,0.0
2,2008-11-24 00:00:00+01:00,567.6099853515625,629.22998046875,567.6099853515625,626.4600219726562,197755700,0.0,0.0
3,2008-11-25 00:00:00+01:00,626.4600219726562,644.5499877929688,614.3699951171875,634.02001953125,258695400,0.0,0.0
4,2008-11-26 00:00:00+01:00,634.02001953125,638.7899780273438,617.489990234375,628.8599853515625,192007800,0.0,0.0
5,2008-11-27 00:00:00+01:00,629.22998046875,645.6199951171875,629.22998046875,645.510009765625,136886400,0.0,0.0
6,2008-11-28 00:00:00+01:00,645.510009765625,647.8800048828125,628.7899780273438,641.739990234375,160786800,0.0,0.0
7,2008-12-01 00:00:00+01:00,641.739990234375,642.6300048828125,605.4099731445312,607.0900268554688,117367200,0.0,0.0
8,2008-12-02 00:00:00+01:00,607.0900268554688,636.6400146484375,591.7000122070312,636.6400146484375,169186700,0.0,0.0
9,2008-12-03 00:00:00+01:00,636.6400146484375,645.3699951171875,622.8900146484375,643.6599731445312,157215200,0.0,0.0
10,2008-12-04 00:00:00+01:00,643.6599731445312,664.3599853515625,634.0399780273438,640.3900146484375,178768500,0.0,0.0
11,2008-12-05 00:00:00+01:00,640.3900146484375,640.3900146484375,603.6500244140625,608.6400146484375,149741300,0.0,0.0
12,2008-12-08 00:00:00+01:00,608.6400146484375,668.969970703125,608.6400146484375,666.6500244140625,180582100,0.0,0.0
13,2008-12-09 00:00:00+01:00,666.6500244140625,692.2100219726562,653.760009765625,685.4199829101562,230001000,0.0,0.0
14,2008-12-10 00:00:00+01:00,685.4199829101562,688.6099853515625,672.1300048828125,688.3300170898438,173708000,0.0,0.0
15,2008-12-11 00:00:00+01:00,688.3300170898438,688.3300170898438,669.72998046875,676.780029296875,156099700,0.0,0.0
16,2008-12-12 00:00:00+01:00,676.780029296875,676.780029296875,646.27001953125,659.7999877929688,0,0.0,0.0
17,2008-12-15 00:00:00+01:00,659.7999877929688,672.1199951171875,650.5,651.1799926757812,119412500,0.0,0.0
18,2008-12-16 00:00:00+01:00,651.1799926757812,667.0,650.25,667.0,134465800,0.0,0.0
19,2008-12-17 00:00:00+01:00,667.0,679.25,655.02001953125,664.3400268554688,151976000,0.0,0.0
20,2008-12-18 00:00:00+01:00,664.3400268554688,676.97998046875,664.3400268554688,672.260009765625,142829400,0.0,0.0
21,2008-12-19 00:00:00+01:00,672.260009765625,672.260009765625,663.030029296875,663.97998046875,138924400,0.0,0.0
22,2008-12-22 00:00:00+01:00,663.97998046875,664.4400024414062,650.7999877929688,655.6300048828125,108986000,0.0,0.0
23,2008-12-23 00:00:00+01:00,655.6300048828125,661.4099731445312,650.1199951171875,659.1799926757812,87050200,0.0,0.0
24,2008-12-29 00:00:00+01:00,659.1799926757812,665.4600219726562,654.47998046875,657.27001953125,59024200,0.0,0.0
25,2008-12-30 00:00:00+01:00,657.27001953125,666.760009765625,657.27001953125,662.3300170898438,101104900,0.0,0.0
26,2009-01-02 00:00:00+01:00,662.3300170898438,695.719970703125,662.3300170898438,693.780029296875,82136800,0.0,0.0
27,2009-01-05 00:00:00+01:00,693.780029296875,704.22998046875,690.6199951171875,693.760009765625,52067800,0.0,0.0
28,2009-01-07 00:00:00+01:00,693.760009765625,704.489990234375,693.760009765625,701.4099731445312,157104500,0.0,0.0
29,2009-01-08 00:00:00+01:00,701.4099731445312,701.4099731445312,684.5800170898438,695.9500122070312,140722700,0.0,0.0
30,2009-01-09 00:00:00+01:00,695.9500122070312,695.9500122070312,683.4099731445312,685.8300170898438,126054100,0.0,0.0
31,2009-01-12 00:00:00+01:00,685.8300170898438,685.8300170898438,666.469970703125,667.969970703125,112056300,0.0,0.0
32,2009-01-13 00:00:00+01:00,667.969970703125,667.969970703125,649.0499877929688,656.6199951171875,160421100,0.0,0.0
33,2009-01-14 00:00:00+01:00,656.6199951171875,662.1400146484375,619.7000122070312,622.5900268554688,204711800,0.0,0.0
34,2009-01-15 00:00:00+01:00,622.5900268554688,633.8800048828125,612.1500244140625,620.3200073242188,191447300,0.0,0.0
35,2009-01-16 00:00:00+01:00,620.3200073242188,636.75,620.3200073242188,628.6900024414062,137790300,0.0,0.0
36,2009-01-19 00:00:00+01:00,628.6900024414062,638.5700073242188,614.3300170898438,621.7999877929688,151377700,0.0,0.0
37,2009-01-20 00:00:00+01:00,621.7999877929688,627.3800048828125,595.1900024414062,597.760009765625,198244500,0.0,0.0
38,2009-01-21 00:00:00+01:00,597.760009765625,620.1400146484375,591.6199951171875,615.1099853515625,288030500,0.0,0.0
39,2009-01-22 00:00:00+01:00,615.1099853515625,627.8800048828125,606.3900146484375,608.72998046875,189449900,0.0,0.0
40,2009-01-23 00:00:00+01:00,608.72998046875,610.3699951171875,591.6500244140625,604.1199951171875,173789000,0.0,0.0
41,2009-01-26 00:00:00+01:00,604.1199951171875,625.02001953125,600.3800048828125,623.25,169907200,0.0,0.0
42,2009-01-27 00:00:00+01:00,623.25,624.5599975585938,610.8099975585938,624.0499877929688,179327900,0.0,0.0
43,2009-01-28 00:00:00+01:00,624.0499877929688,643.22998046875,624.0499877929688,639.2899780273438,193605700,0.0,0.0
44,2009-01-29 00:00:00+01:00,639.2899780273438,639.2899780273438,614.5399780273438,616.0999755859375,165527300,0.0,0.0
45,2009-01-30 00:00:00+01:00,616.0999755859375,627.3699951171875,613.3900146484375,617.3800048828125,179432600,0.0,0.0
46,2009-02-02 00:00:00+01:00,617.5,617.5,595.6199951171875,602.0800170898438,152123400,0.0,0.0
47,2009-02-03 00:00:00+01:00,602.0800170898438,623.6400146484375,597.7000122070312,622.739990234375,193608800,0.0,0.0
48,2009-02-04 00:00:00+01:00,622.489990234375,649.280029296875,620.6699829101562,644.7100219726562,243033200,0.0,0.0
49,2009-02-05 00:00:00+01:00,642.7100219726562,644.0,627.6799926757812,643.2000122070312,207509900,0.0,0.0
50,2009-02-06 00:00:00+01:00,642.7000122070312,673.6500244140625,642.4500122070312,670.5399780273438,239748400,0.0,0.0
51,2009-02-09 00:00:00+01:00,670.280029296875,690.510009765625,663.7899780273438,688.4199829101562,229058400,0.0,0.0
52,2009-02-10 00:00:00+01:00,686.5399780273438,687.1300048828125,672.780029296875,676.47998046875,200041400,0.0,0.0
